game_id,fold,dropbacks,offense_only_mse,offense_defense_mse
2021_01_ARI_TEN,0,79,3.096835381738998,3.112534647307219
2021_01_BAL_LV,2,98,2.3846677438417356,2.38287118509703
2021_01_CHI_LA,2,72,2.760553331450428,2.7993233475572072
2021_01_CLE_KC,1,73,1.8281576825542287,1.9199406022536478
2021_01_DAL_TB,0,112,1.8816237505972386,1.897332289575569
2021_01_DEN_NYG,0,83,2.954487766034284,2.9665091544089752
2021_01_GB_NO,3,61,3.6621282123166528,3.700375499459588
2021_01_JAX_HOU,2,89,3.118894111077751,3.0601612048571543
2021_01_LAC_WAS,1,75,2.0935066222086594,2.0918606465843563
2021_01_MIA_NE,2,69,1.9766422546883715,1.975749705934454
2021_01_MIN_CIN,4,83,1.9894407003567331,1.9890180853196864
2021_01_NYJ_CAR,4,79,2.5884256642749177,2.563304950906237
2021_01_PHI_ATL,1,77,1.8781484003582252,1.877307956492959
2021_01_PIT_BUF,4,90,1.6538098671673136,1.6646104043432046
2021_01_SEA_IND,1,72,2.263397361182525,2.256398678113527
2021_01_SF_DET,1,90,2.9328778388007954,2.9220125770625014
2021_02_ATL_TB,0,90,3.6291229199424895,3.6345320452992698
2021_02_BUF_MIA,4,89,2.405081987366396,2.3430730352468703
2021_02_CIN_CHI,1,68,4.6335166148571885,4.6365654191903385
2021_02_DAL_LAC,1,74,2.834592573708508,2.8336545472715025
2021_02_DEN_JAX,0,74,1.9323111988957329,1.914615271133555
2021_02_DET_GB,0,72,2.288618594677006,2.270041967731383
2021_02_HOU_CLE,1,59,2.8337700198558684,2.9234414985673185
2021_02_KC_BAL,0,59,3.2361690978236024,3.2124215140222607
2021_02_LA_IND,4,76,2.5876087731909396,2.5817596343591114
2021_02_LV_PIT,4,82,2.467679004823955,2.4779260084172536
2021_02_MIN_ARI,3,77,3.910404587469075,3.9396313939770256
2021_02_NE_NYJ,4,72,2.470037303823131,2.4779675869471767
2021_02_NO_CAR,2,70,2.492390357296267,2.5689914690505584
2021_02_NYG_WAS,0,87,1.639233294100295,1.6296010931498945
2021_02_SF_PHI,1,64,1.9848368038718684,1.9818734927616328
2021_02_TEN_SEA,4,81,2.7930215889736396,2.804788983896636
2021_03_ARI_JAX,0,75,2.8832212348358865,2.864066117182585
2021_03_ATL_NYG,3,81,1.4712247331231343,1.46334631796246
2021_03_BAL_DET,0,73,1.8368448540601254,1.826656438121701
2021_03_CAR_HOU,0,69,1.6936489096623883,1.645718756252639
2021_03_CHI_CLE,4,69,2.1931655835752117,2.209478220922176
2021_03_CIN_PIT,3,82,2.329974403170515,2.3355653544453157
2021_03_GB_SF,3,76,2.5101762545321424,2.499048286543435
2021_03_IND_TEN,3,69,2.5656979430830837,2.5470359863087118
2021_03_LAC_KC,3,91,2.0050580550118347,1.992698765113528
2021_03_MIA_LV,3,102,3.394284656048432,3.4087835742337798
2021_03_NO_NE,3,83,2.6896029120230818,2.690471019009541
2021_03_NYJ_DEN,1,69,2.5917813374691554,2.5542387179263946
2021_03_PHI_DAL,3,80,3.668674961563812,3.656433458160101
2021_03_SEA_MIN,2,76,1.6362003974403845,1.607996107717959
2021_03_TB_LA,4,99,1.9414279749971206,1.9686851133464263
