column,dtype,null_count,nan_count,null_fraction
play_id,Float64,0,0,0.0
game_id,String,0,0,0.0
old_game_id,String,0,0,0.0
home_team,String,0,0,0.0
away_team,String,0,0,0.0
season_type,String,0,0,0.0
week,Int32,0,0,0.0
posteam,String,2713,0,0.05481694011153318
posteam_type,String,2713,0,0.05481694011153318
defteam,String,2713,0,0.05481694011153318
side_of_field,String,3573,0,0.07219348581588944
yardline_100,Float64,3542,0,0.0715671219591045
game_date,String,0,0,0.0
quarter_seconds_remaining,Float64,5,0,0.00010102642851369918
half_seconds_remaining,Float64,5,0,0.00010102642851369918
game_seconds_remaining,Float64,5,0,0.00010102642851369918
game_half,String,0,0,0.0
quarter_end,Float64,0,0,0.0
drive,Float64,563,0,0.011375575850642528
sp,Float64,0,0,0.0
qtr,Float64,0,0,0.0
down,Float64,8009,0,0.16182413319324335
goal_to_go,Float64,0,0,0.0
time,String,5,0,0.00010102642851369918
yrdln,String,352,0,0.007112260567364422
ydstogo,Float64,0,0,0.0
ydsnet,Float64,563,0,0.011375575850642528
desc,String,0,0,0.0
play_type,String,1446,0,0.029216843126161803
yards_gained,Float64,1517,0,0.03065141841105633
shotgun,Float64,0,0,0.0
no_huddle,Float64,0,0,0.0
qb_dropback,Float64,1446,0,0.029216843126161803
qb_kneel,Float64,0,0,0.0
qb_spike,Float64,0,0,0.0
qb_scramble,Float64,0,0,0.0
pass_length,String,30987,0,0.6261011880707993
pass_location,String,30987,0,0.6261011880707993
air_yards,Float64,30912,0,0.6245857916430938
yards_after_catch,Float64,37356,0,0.7547886527115494
run_location,String,34612,0,0.6993453487432312
run_gap,String,38354,0,0.7749535278428837
field_goal_result,String,48326,0,0.9764406368706053
kick_distance,Float64,41956,0,0.8477329669441526
extra_point_result,String,48190,0,0.9736927180150328
two_point_conv_result,String,49344,0,0.9970096177159945
home_timeouts_remaining,Float64,0,0,0.0
away_timeouts_remaining,Float64,0,0,0.0
timeout,Float64,1517,0,0.03065141841105633
timeout_team,String,47278,0,0.955265497454134
td_team,String,48031,0,0.9704800775882971
td_player_name,String,48031,0,0.9704800775882971
td_player_id,String,48031,0,0.9704800775882971
posteam_timeouts_remaining,Float64,2713,0,0.05481694011153318
defteam_timeouts_remaining,Float64,2713,0,0.05481694011153318
total_home_score,Float64,0,0,0.0
total_away_score,Float64,0,0,0.0
posteam_score,Float64,2713,0,0.05481694011153318
defteam_score,Float64,2713,0,0.05481694011153318
