season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks
2025,00-0033400,M.Haack,1,1,4.4010514167603105,4.4010514167603105,1.0,0,0,0,0
2025,00-0034827,D.Moore,1,1,3.8681936897919513,3.8681936897919513,1.0,0,0,0,0
2025,00-0033269,R.Sanchez,1,1,3.5125947825144976,3.5125947825144976,1.0,0,0,0,0
2025,00-0036414,C.Akers,1,1,3.2600105608580634,3.2600105608580634,1.0,0,0,0,0
2025,00-0039634,A.McNamara,1,1,2.8565037888474762,2.8565037888474762,1.0,0,0,0,0
2025,00-0035645,G.Olszewski,2,2,2.4279792429879308,1.2139896214939654,0.5,0,0,0,0
2025,00-0038120,B.Hall,1,1,1.194561611104291,1.194561611104291,1.0,0,0,0,0
2025,00-0033319,N.Mullens,3,2,2.8997661510420993,0.9665887170140331,0.6666666666666666,0,0,0,0
2025,00-0038618,X.Hutchinson,1,1,0.9142109247040935,0.9142109247040935,1.0,0,1,0,1
2025,00-0038128,M.Willis,47,4,33.24808601803542,0.7074060854901154,0.6808510638297872,3,9,3,0
2025,00-0033869,M.Trubisky,37,4,25.611737506085774,0.6922091217861019,0.6216216216216216,0,2,1,0
2025,00-0038416,T.Bagent,5,2,2.618899015884381,0.5237798031768761,0.6,0,1,0,0
2025,00-0039851,D.Maye,601,17,190.20665555794244,0.31648361989674284,0.5524126455906821,47,62,5,0
2025,00-0031503,J.Winston,70,3,18.66954024351901,0.26670771776455726,0.44285714285714284,3,1,1,0
2025,00-0036264,J.Love,483,15,125.08711844334718,0.2589795412905739,0.5031055900621118,21,24,7,0
2025,00-0026498,M.Stafford,624,17,139.23713701684244,0.22313643752699108,0.5272435897435898,23,7,9,0
2025,00-0037834,B.Purdy,313,9,64.60992821492869,0.20642149589434086,0.5335463258785943,11,18,1,0
2025,00-0033106,J.Goff,619,17,109.3703506834146,0.17668877331730953,0.4862681744749596,38,5,6,0
2025,00-0034857,J.Allen,547,16,93.89419151296364,0.1716530009377763,0.48811700182815354,40,48,13,0
2025,00-0033077,D.Prescott,654,17,110.75132310238685,0.16934453073759456,0.4847094801223242,31,26,12,0
2025,00-0033873,P.Mahomes,586,14,98.04011201882213,0.16730394542461113,0.49829351535836175,34,52,13,0
2025,00-0035710,D.Jones,426,13,67.82943711503373,0.15922403078646416,0.5070422535211268,22,22,6,0
2025,00-0035993,T.Huntley,81,4,12.069078771757399,0.14900097249083208,0.5061728395061729,8,7,2,0
2025,00-0026300,J.Johnson,62,3,9.233864400774188,0.14893329678668044,0.5161290322580645,2,8,1,0
2025,00-0036972,M.Jones,310,8,40.583557674090585,0.13091470217448575,0.5225806451612903,16,8,4,0
2025,00-0034869,S.Darnold,514,17,67.08923651525515,0.13052380644991274,0.5233463035019456,27,14,11,0
2025,00-0039163,C.Stroud,468,14,55.36744336172861,0.11830650290967652,0.4636752136752137,23,25,9,0
2025,00-0039732,B.Nix,669,17,76.09520346887987,0.11374469875766798,0.4484304932735426,22,36,11,0
2025,00-0039918,C.Williams,633,17,70.56154048219744,0.1114716279339612,0.4486571879936809,24,43,10,0
2025,00-0036442,J.Burrow,284,8,26.16398726625015,0.09212671572623292,0.4859154929577465,17,8,2,0
2025,00-0036389,J.Hurts,524,16,45.38151167233306,0.08660593830597912,0.4446564885496183,32,40,6,0
2025,00-0036971,T.Lawrence,641,17,53.16949418214086,0.08294772883329307,0.4711388455538221,41,43,10,0
2025,00-0035228,K.Murray,193,5,15.236067261391852,0.07894335368596815,0.44559585492227977,16,16,3,0
2025,00-0034855,B.Mayfield,620,17,38.88631993968265,0.06271987087045588,0.45,36,42,9,0
2025,00-0034796,L.Jackson,366,13,22.266072399064488,0.0608362633854221,0.4644808743169399,36,30,4,0
2025,00-0036355,J.Herbert,615,16,33.479670393680934,0.05443848844500965,0.4666666666666667,54,49,12,0
2025,00-0040691,J.Dart,411,13,20.469719441998897,0.0498046701751798,0.44525547445255476,35,38,12,0
2025,00-0034771,M.Rudolph,55,4,2.554198399620166,0.04643997090218483,0.509090909090909,2,1,1,0
2025,00-0032950,C.Wentz,196,5,7.362452234339155,0.03756353180785283,0.47959183673469385,19,9,4,0
2025,00-0023459,A.Rodgers,536,16,18.54329392032405,0.03459569761254487,0.43097014925373134,29,12,5,0
2025,00-0039917,M.Penix,302,9,9.411865906110542,0.031165118894405767,0.4602649006622517,13,13,6,0
2025,00-0032268,M.Mariota,259,10,7.92205341212053,0.030587078811276175,0.4826254826254826,16,18,6,0
2025,00-0039910,J.Daniels,242,7,4.658640498833239,0.01925058057369107,0.4628099173553719,18,38,6,0
2025,00-0036212,T.Tagovailoa,423,14,7.675573918918266,0.018145564820137745,0.4444444444444444,30,11,6,0
2025,00-0040743,T.Shough,375,11,1.1195352224291515,0.002985427259811071,0.448,31,20,4,0
2025,00-0033119,J.Brissett,549,13,0.22407575398072188,0.0004081525573419342,0.453551912568306,43,22,7,0
2025,00-0039150,B.Young,536,16,-5.591317618576004,-0.010431562721223888,0.43843283582089554,27,33,5,0
2025,00-0029604,K.Cousins,281,10,-4.625408477052758,-0.01646052838808811,0.44483985765124556,13,2,6,0
2025,00-0038400,T.McKee,49,2,-1.5731020410671346,-0.03210412328708438,0.46938775510204084,3,3,1,0
2025,00-0040234,Q.Ewers,94,4,-3.910855055053342,-0.04160484101120577,0.4148936170212766,8,3,0,0
2025,00-0028118,T.Taylor,169,6,-8.12748063110286,-0.048091601367472536,0.4437869822485207,14,22,1,0
2025,00-0036945,J.Fields,257,9,-14.302402154598754,-0.05565137025135702,0.42412451361867703,27,28,8,0
2025,00-0036898,D.Mills,174,6,-13.239830668582169,-0.0760909808539205,0.40229885057471265,8,7,1,0
2025,00-0039376,S.Rattler,288,9,-28.022399114129005,-0.09729999692405905,0.4618055555555556,18,16,10,0
2025,00-0033949,J.Dobbs,11,4,-1.0756269610003608,-0.09778426918185099,0.2727272727272727,0,1,0,0
2025,00-0026158,J.Flacco,434,12,-46.28485932440055,-0.1066471413004621,0.41013824884792627,18,4,3,0
2025,00-0022942,P.Rivers,97,3,-11.195535567243311,-0.11541789244580733,0.422680412371134,5,0,2,0
2025,00-0029263,R.Wilson,141,6,-17.27690726649073,-0.12253125720915413,0.375886524822695,10,12,4,0
2025,00-0040206,R.Leonard,72,5,-8.921044461218482,-0.12390339529470114,0.3472222222222222,2,3,1,0
2025,00-0030565,G.Smith,519,15,-67.66035842402934,-0.13036677923705076,0.4238921001926782,55,18,10,0
2025,00-0039923,J.McCarthy,287,10,-42.97374360231803,-0.14973429826591647,0.4181184668989547,27,17,5,0
2025,00-0033357,T.Hill,6,5,-0.9995986306660125,-0.16659977177766874,0.3333333333333333,0,0,1,0
2025,00-0040676,C.Ward,615,17,-102.79959729487082,-0.16715381673962734,0.37886178861788616,55,23,2,0
2025,00-0039398,J.Milton,27,4,-4.585856225480933,-0.1698465268696642,0.4444444444444444,0,3,0,0
2025,00-0040704,D.Gabriel,214,10,-40.03370915140333,-0.18707340724954827,0.32710280373831774,19,11,5,0
2025,00-0027973,A.Dalton,46,3,-9.955220051605377,-0.21641782720881253,0.43478260869565216,8,1,1,0
2025,00-0038579,A.O'Connell,24,1,-5.706921673483371,-0.23778840306180712,0.375,1,1,0,0
2025,00-0040668,S.Sanders,253,8,-60.42563131721639,-0.23883648741982763,0.3675889328063241,23,18,10,0
2025,00-0035704,D.Lock,3,1,-0.8927228087559342,-0.2975742695853114,0.3333333333333333,0,0,0,0
2025,00-0035100,J.Browning,138,5,-49.44162349758261,-0.35827263404045373,0.391304347826087,9,4,2,0
2025,00-0036679,S.Buechele,20,1,-7.660178778335405,-0.38300893891677024,0.2,5,1,0,0
2025,00-0040398,B.Cook,179,5,-70.83243579265421,-0.3957119318025375,0.3128491620111732,19,7,2,0
2025,00-0040730,R.Harvey,1,1,-0.4586076693958603,-0.4586076693958603,0.0,0,0,0,0
2025,00-0032764,D.Henry,1,1,-0.4591185906319879,-0.4591185906319879,0.0,0,0,0,0
2025,00-0040128,T.Warren,1,1,-0.46532738901441917,-0.46532738901441917,0.0,0,0,0,0
2025,00-0037324,C.Oladokun,66,3,-30.72680859854567,-0.4655577060385708,0.25757575757575757,8,4,0,0
2025,00-0038102,K.Pickett,55,6,-25.786100492395107,-0.4688381907708201,0.3090909090909091,8,3,2,0
2025,00-0033662,C.Rush,53,3,-25.05178101762415,-0.4726751135400783,0.41509433962264153,1,0,0,0
2025,00-0036290,C.Kmet,1,1,-0.4927360210567713,-0.4927360210567713,0.0,0,0,0,0
2025,00-0035289,G.Minshew II,14,2,-6.914474138233345,-0.49389100987381035,0.21428571428571427,0,1,0,0
2025,00-0037012,T.Lance,66,4,-32.68817756871823,-0.495275417707852,0.3181818181818182,6,7,0,0
2025,00-0037742,T.Burks,1,1,-0.49842422152869403,-0.49842422152869403,0.0,1,0,0,0
2025,00-0037013,Z.Wilson,12,3,-6.859845929488074,-0.5716538274573395,0.25,0,1,0,0
2025,00-0035685,D.Montgomery,3,3,-1.7448692192556337,-0.5816230730852112,0.3333333333333333,1,0,0,0
