season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average,schedule_adjustment_total,schedule_adjustment_per_dropback,opponent_adjusted_epa_per_dropback,opponent_adjusted_epa_above_average,pass_plus,resampling_dropbacks,resampled_rate_p025,resampled_rate_p975,pass_plus_resampled_p025,pass_plus_resampled_p975,reference_mean_adjusted_epa_db,reference_sd_player_rates,source_pass_plus_manifest
2017,00-0019596,T.Brady,622,16,137.74321200563813,0.22145210933382337,0.5016077170418006,35,6,9,0,19356,0.005665880280425992,0.21578622905339737,134.21903447121315,-5.416226695562561,-0.008707759960711513,0.21274434937311185,128.8028077756506,115.67134676208488,622,0.10475926595221512,0.3249424729003986,107.49921909069431,124.16231015173767,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0019596,T.Brady,594,16,89.89089284390145,0.15133146943417752,0.5134680134680135,21,5,7,0,19669,0.056297614668360245,0.09503385476581727,56.45010973089547,1.7008523526353994,0.002863387799049494,0.154194857233227,58.15096208353087,106.8510076133306,594,0.01879533103097237,0.2674123473541307,97.3755294430608,114.77415096710325,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2019,00-0019596,T.Brady,643,16,17.56760879082139,0.02732132004793373,0.4199066874027994,27,3,7,0,19839,0.0422891649790085,-0.014967844931074774,-9.62432429068108,-11.101057739523576,-0.017264475489150194,0.010056844558783536,-20.725382030204656,97.28191757800113,643,-0.1072756239995154,0.12816679006900716,87.38752225801869,107.24187586115173,0.042289164979008496,0.17787716898879768,data/metadata/20260915T175345267639Z/pass_plus_manifest.json
2020,00-0019596,T.Brady,631,16,120.17124336652603,0.19044571056501747,0.4896988906497623,21,4,15,0,19932,0.0778852461675433,0.11256046439747416,71.0256530348062,3.4974400488165847,0.005542694213655443,0.1959884047786729,74.52309308362278,109.7271962121266,631,0.0316028281077997,0.35520981815893377,96.18809380770979,122.84096850522398,0.07788524616754329,0.1821231257737363,data/metadata/20260915T175347204551Z/pass_plus_manifest.json
2021,00-0019596,T.Brady,749,17,142.0829989999203,0.18969692790376544,0.5126835781041389,22,10,5,0,20799,0.04047878194474436,0.14921814595902108,111.76439132330678,4.610484501358616,0.006155520028516177,0.19585244793228163,116.3748758246654,112.5964474683114,749,0.0784639184700792,0.30578230673823387,103.07952942847082,121.50867646700888,0.040478781944744364,0.18502081604167445,data/metadata/20260915T175349423779Z/pass_plus_manifest.json
2022,00-0019596,T.Brady,756,17,38.56300232199324,0.05100926233067889,0.47354497354497355,22,4,4,0,20210,0.015473245525922667,0.035536016804756224,26.865228704395705,-2.142498662375366,-0.002833992939649955,0.04817526939102893,24.722730042020338,102.71394530360259,756,-0.027699780343946215,0.12973881430732706,96.4170648494063,109.4829147283653,0.01547324552592266,0.18074437879254537,data/metadata/20260915T175351369838Z/pass_plus_manifest.json
2017,00-0020531,D.Brees,558,16,86.2590147924858,0.15458604801520753,0.496415770609319,20,5,6,0,19356,0.005665880280425992,0.14892016773478153,83.0974535960081,-0.931950344027008,-0.0016701619068584374,0.1529158861083491,82.1655032519811,111.143630297052,558,0.046483489775732786,0.25540252181085804,103.08900734684306,118.89964478571723,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0020531,D.Brees,510,15,145.64495959630452,0.2855783521496167,0.5588235294117647,17,4,11,0,19669,0.056297614668360245,0.22928073748125644,116.93317611544079,0.28532170457006045,0.000559454322686393,0.2861378064723031,117.21849782001085,116.08458892858829,510,0.11456812834283338,0.4622716543224626,104.0778649363079,128.4107209111832,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2019,00-0020531,D.Brees,385,11,93.92994223985643,0.24397387594767905,0.5402597402597402,12,0,4,0,19839,0.0422891649790085,0.20168471096867055,77.64861372293815,1.5011642432917858,0.003899127904653989,0.24787300385233305,79.14977796622993,117.33644402275189,385,0.028504004687434605,0.43412030938398477,98.83752701063827,133.04227967808953,0.042289164979008496,0.17787716898879768,data/metadata/20260915T175345267639Z/pass_plus_manifest.json
2020,00-0020531,D.Brees,403,12,62.17233549014979,0.1542737853353593,0.4987593052109181,13,2,6,0,19932,0.0778852461675433,0.07638853916781599,30.78458128462984,1.6271850850489513,0.004037680111783998,0.15831146544714328,32.411766369678794,106.62405328301242,403,0.06399515788533852,0.2609958951637993,98.85598644681774,115.08133425271977,0.07788524616754329,0.1821231257737363,data/metadata/20260915T175347204551Z/pass_plus_manifest.json
