season,dropback_player_id,player,games_with_dropbacks,dropbacks,raw_epa_db,adjusted_epa_db,resampled_rate_p025,resampled_rate_p975,status
2019,00-0034796,L.Jackson,15,459,0.37073591066302564,0.36944489086128823,0.1886129004030693,0.592593525278761,conditional_game_resampling
2019,00-0033873,P.Mahomes,14,524,0.27959599595028123,0.27875909639305013,0.1555922309429264,0.40014752550972,conditional_game_resampling
2019,00-0020531,D.Brees,11,385,0.24397387594767908,0.24787300385233302,0.028504004687434605,0.43412030938398477,conditional_game_resampling
2019,00-0029701,R.Tannehill,11,329,0.2276434628809669,0.21950972585414677,0.06667023075942805,0.39630181727889785,conditional_game_resampling
2019,00-0026498,M.Stafford,8,316,0.2203965292001749,0.20511719717535062,0.1539233279414381,0.25683538502404013,conditional_game_resampling
2019,00-0033077,D.Prescott,16,638,0.19785430590035397,0.19053228359603339,0.07462646118538432,0.3242838065065234,conditional_game_resampling
2019,00-0029604,K.Cousins,15,481,0.17103516148170805,0.16901399958686594,-0.021137124606012265,0.36143069771574465,conditional_game_resampling
2019,00-0033537,D.Watson,15,580,0.15103398460119763,0.1623687151016475,-0.015702158548054082,0.3551897341991954,conditional_game_resampling
2019,00-0031345,J.Garoppolo,16,522,0.1593695823273415,0.1583225398142911,-0.007252918487487686,0.3131308201781994,conditional_game_resampling
2019,00-0031280,D.Carr,16,554,0.15350063027223612,0.15247700110560816,0.04524874787780622,0.26745752310565,conditional_game_resampling
2019,00-0029263,R.Wilson,16,606,0.12131928936551828,0.14236191303858392,-0.012521325858419974,0.28818251148420887,conditional_game_resampling
2019,00-0033106,J.Goff,16,657,0.09816911979710442,0.11339299859480685,-0.0290898527790037,0.2556141772036928,conditional_game_resampling
2019,00-0031237,T.Bridgewater,7,220,0.09827048205503204,0.10662964003270907,-0.07397039166358076,0.2713967580470767,conditional_game_resampling
2019,00-0023459,A.Rodgers,16,630,0.09471212775995114,0.094050928999725,-0.05455326538235576,0.25159343567341597,conditional_game_resampling
2019,00-0022942,P.Rivers,16,628,0.0907704006702916,0.08453950190611519,-0.05751783048384565,0.24029829407188533,conditional_game_resampling
2019,00-0035704,D.Lock,5,172,0.09056825729734169,0.08233809470450935,-0.13584259454983796,0.4015406480465721,conditional_game_resampling
2019,00-0031503,J.Winston,16,704,0.06646773483975671,0.0645033085891748,-0.06835578679458208,0.21219635072555584,conditional_game_resampling
2019,00-0026143,M.Ryan,15,685,0.04529589687986245,0.05425972986821145,-0.06582385764763785,0.18632440189480762,conditional_game_resampling
2019,00-0023682,R.Fitzpatrick,15,574,0.045608532246299426,0.05269012502471045,-0.11351739049071859,0.19328842634843785,conditional_game_resampling
2019,00-0032950,C.Wentz,16,671,0.0374514509752391,0.023557992955393597,-0.07598046537970864,0.12336247154895033,conditional_game_resampling
2019,00-0033119,J.Brissett,15,503,0.015571459741399169,0.015951706925555763,-0.10848270893610368,0.154299567285017,conditional_game_resampling
2019,00-0032436,J.Driskel,3,126,0.0016293278242891366,0.013128134467661437,-0.08760359482303308,0.24267223895516543,conditional_game_resampling
2019,00-0019596,T.Brady,16,643,0.027321320047933712,0.010056844558783522,-0.1072756239995154,0.12816679006900716,conditional_game_resampling
