game_id,fold,dropbacks,offense_only_mse,offense_defense_mse
2022_01_BAL_NYJ,3,96,2.3748045362340995,2.3839102870571307
2022_01_BUF_LA,1,87,3.361950670125727,3.347109117495111
2022_01_CLE_CAR,2,68,2.2774267632425107,2.3020417946997256
2022_01_DEN_SEA,2,76,2.603219238490971,2.6479865623520786
2022_01_GB_MIN,0,75,2.428938322161981,2.446365767809914
2022_01_IND_HOU,0,95,1.8947393583961176,1.8945373292797638
2022_01_JAX_WAS,0,90,2.461696393547618,2.466824807271028
2022_01_KC_ARI,2,85,1.9724650372904327,1.983034706734244
2022_01_LV_LAC,2,78,2.8648025732220446,2.831775589624258
2022_01_NE_MIA,3,69,3.5747113329315647,3.6094067124301437
2022_01_NO_ATL,4,75,2.082117453397427,2.084211096712862
2022_01_NYG_TEN,1,64,2.6746591977429865,2.6996291095996923
2022_01_PHI_DET,1,83,2.59072882779575,2.5817778746390614
2022_01_PIT_CIN,1,105,2.6017593894883575,2.6473311674521987
2022_01_SF_CHI,3,57,2.913491011651513,2.9935713727296647
2022_01_TB_DAL,3,75,2.2111587278810285,2.2444453999476055
2022_02_ARI_LV,4,93,2.9853217080486742,2.996728174324384
2022_02_ATL_LA,2,69,3.2998644416802407,3.291668606008425
2022_02_CAR_NYG,4,79,1.3540367756850382,1.3726473183633108
2022_02_CHI_GB,4,45,1.749470935735147,1.682320300117879
2022_02_CIN_DAL,4,77,2.1432204977038847,2.1579492661789734
2022_02_HOU_DEN,1,76,1.523657278199653,1.515758408254258
2022_02_IND_JAX,0,65,2.3120978697081385,2.336783264686322
2022_02_LAC_KC,0,86,3.9494370607388687,3.944504844626085
2022_02_MIA_BAL,3,82,3.304917304614443,3.3012059681720887
2022_02_MIN_PHI,3,88,2.4312111396576666,2.4001615973968238
2022_02_NE_PIT,2,75,1.9883112072075648,1.9826676160322063
2022_02_NYJ_CLE,1,80,2.4620516552811442,2.5222826604018853
2022_02_SEA_SF,3,58,1.9252944766153628,1.8865545170396296
2022_02_TB_NO,2,82,3.2848507018904156,3.2845319735558913
2022_02_TEN_BUF,3,70,3.011158427180735,2.999198503704488
2022_02_WAS_DET,1,90,2.191963674147737,2.186997119327584
2022_03_ATL_SEA,2,71,1.9899377371384728,1.9835600122873436
2022_03_BAL_NE,4,74,2.694847972366036,2.702488724487356
2022_03_BUF_MIA,0,92,1.7510571626094156,1.7594258117235424
2022_03_CIN_NYJ,1,95,2.728951336316675,2.736620594256986
2022_03_DAL_NYG,0,80,1.2015894214935088,1.1907143364115125
2022_03_DET_MIN,2,83,1.9585150285264579,1.9692244340122398
2022_03_GB_TB,1,81,2.0108279534941467,2.0143518893423513
2022_03_HOU_CHI,2,58,3.1267293764646396,3.1441289697228636
2022_03_JAX_LAC,0,87,2.732226063385152,2.7544621468691775
2022_03_KC_IND,0,84,2.22981124949272,2.228214891423312
2022_03_LA_ARI,4,89,1.4713527171730405,1.461705422146248
2022_03_LV_TEN,0,76,2.586037446481781,2.52971704693602
2022_03_NO_CAR,2,70,2.48756958778546,2.4715235697121183
2022_03_PHI_WAS,0,96,2.3865303883493914,2.3839866835561314
2022_03_PIT_CLE,4,66,2.1309037399742112,2.1324475228032354
2022_03_SF_DEN,0,73,1.795152684895268,1.7537316757630688
