game_id,fold,dropbacks,offense_only_mse,offense_defense_mse
2020_01_ARI_SF,3,86,2.4585557482871208,2.4644715909385435
2020_01_CHI_DET,4,85,1.8126184753613268,1.8137768941400356
2020_01_CLE_BAL,0,72,2.5356205618935013,2.4835745618014275
2020_01_DAL_LA,3,79,1.838177201780294,1.8496323559548797
2020_01_GB_MIN,1,75,2.699514911083235,2.7095463477405515
2020_01_HOU_KC,3,73,1.9760455692112824,1.965266182861705
2020_01_IND_JAX,4,76,2.2256373466354393,2.241687614080696
2020_01_LAC_CIN,3,76,1.5420024004346238,1.5555083318101355
2020_01_LV_CAR,1,69,1.9669409560249216,1.9560894613078466
2020_01_MIA_NE,1,56,2.236092808955736,2.2365617780341296
2020_01_NYJ_BUF,2,89,2.095500403848132,2.0912782176781493
2020_01_PHI_WAS,2,86,3.1797703800029247,3.159386408477984
2020_01_PIT_NYG,4,82,2.7226656677930983,2.748338436712647
2020_01_SEA_ATL,1,95,2.2995862451117124,2.2997236628946442
2020_01_TB_NO,4,74,2.797036451698455,2.726952370779979
2020_01_TEN_DEN,2,79,1.7031089000981505,1.7234590072466633
2020_02_ATL_DAL,2,92,2.60684684513556,2.5838129892313915
2020_02_BAL_HOU,0,75,2.713014128804437,2.6816187210894227
2020_02_BUF_MIA,4,88,2.1858638664838916,2.22379369265244
2020_02_CAR_TB,3,82,3.2086665781039287,3.21783563538309
2020_02_CIN_CLE,4,91,2.31713345296449,2.2944378981351727
2020_02_DEN_PIT,1,89,3.0749503210534836,3.0547289217821327
2020_02_DET_GB,2,71,2.6414377801666813,2.619382484218421
2020_02_JAX_TEN,3,77,2.8719655891805456,2.807876571875921
2020_02_KC_LAC,0,91,1.9056624897917533,1.9124612963308638
2020_02_LA_PHI,3,74,2.097211867694249,2.096149671705696
2020_02_MIN_IND,2,55,2.5824055396494394,2.5489714994669366
2020_02_NE_SEA,3,81,3.4695880832345747,3.4461507174517068
2020_02_NO_LV,2,80,1.57034883421982,1.6065678226408426
2020_02_NYG_CHI,1,78,2.3528327345584623,2.3564867211657097
2020_02_SF_NYJ,0,64,2.2631322792407724,2.246922761829328
2020_02_WAS_ARI,2,81,2.430193017899057,2.437707091676373
2020_03_CAR_LAC,3,83,2.4070030899300505,2.4270594667451615
2020_03_CHI_ATL,3,94,2.7711392180145884,2.760077247374695
2020_03_CIN_PHI,1,108,1.794612433274358,1.7930254631077243
2020_03_DAL_SEA,0,110,2.6540084931607315,2.6495785720883585
2020_03_DET_ARI,4,72,2.5366562559415726,2.619996898187778
2020_03_GB_NO,3,72,2.2025833209255836,2.256795449884429
2020_03_HOU_PIT,2,72,2.3573383746320418,2.3676999168455217
2020_03_KC_BAL,1,81,1.9151525571438366,2.005364520890433
2020_03_LA_BUF,1,72,2.580845041247243,2.592057547416891
2020_03_LV_NE,2,67,3.0552371240058083,3.0862683224487157
2020_03_MIA_JAX,2,73,1.6341470623103607,1.6052034060995002
2020_03_NYJ_IND,2,61,3.9407522864139235,3.9276110639134076
2020_03_SF_NYG,1,73,1.972658429244879,1.93811485155894
2020_03_TB_DEN,3,88,1.9370394346925572,1.9279228991030024
2020_03_TEN_MIN,0,70,2.805703730043079,2.810011060050731
2020_03_WAS_CLE,1,67,3.5799064693690634,3.619816541502151
2020_04_ARI_CAR,4,75,2.0468408407843524,2.0643188162884507
2020_04_ATL_GB,1,80,1.671026539410906,1.6823860899381369
2020_04_BAL_WAS,3,75,2.265408970937057,2.3044421185825934
2020_04_BUF_LV,2,84,2.288513078180556,2.263783328491133
2020_04_CLE_DAL,2,95,2.31635569187654,2.294614048102633
2020_04_DEN_NYJ,1,86,3.026821190902252,3.0231059474786535
2020_04_IND_CHI,0,73,1.8529051257140576,1.850675771456378
2020_04_JAX_CIN,2,83,2.2585876445790003,2.2349119253400547
2020_04_LAC_TB,2,75,4.227701342571913,4.2703581279719875
2020_04_MIN_HOU,4,66,2.081239939293783,2.0741324244901933
2020_04_NE_KC,2,76,3.75015766595087,3.727093127691018
2020_04_NO_DET,2,63,3.6988785405660596,3.6859148494058673
2020_04_NYG_LA,1,79,2.2229224283998716,2.1942552761603302
2020_04_PHI_SF,1,83,3.2233871598561383,3.2482460235512094
2020_04_SEA_MIA,1,87,2.418508311784782,2.4236452594534743
2020_05_ARI_NYJ,2,77,2.188593461042721,2.1645178240762935
2020_05_BUF_TEN,0,80,2.9517660482551493,3.0456585075753826
2020_05_CAR_ATL,1,76,2.2779950027580456,2.2877597428320087
2020_05_CIN_BAL,1,77,3.3000488674888433,3.266226121310303
2020_05_IND_CLE,2,74,3.055739003621971,3.0691826912601874
2020_05_JAX_HOU,4,94,3.0108787271832678,3.0129249865875622
2020_05_LAC_NO,0,88,2.595475688541978,2.611752589940721
2020_05_LA_WAS,0,72,2.2031318091649306,2.1713980001954045
2020_05_LV_KC,2,82,3.5409128847081277,3.580413475146036
2020_05_MIA_SF,1,71,2.6557162620404133,2.697205069485345
2020_05_MIN_SEA,0,83,2.1971224616757867,2.196943650297632
2020_05_NYG_DAL,4,70,3.8276163589305434,3.830189440264592
2020_05_PHI_PIT,0,78,2.3247539051159216,2.398411426756142
2020_05_TB_CHI,0,89,1.9130378562090125,1.9090249744077659
2020_06_ARI_DAL,0,86,2.7685967595765724,2.775782090203441
2020_06_ATL_MIN,0,81,3.5879393269850386,3.5953525584254638
2020_06_BAL_PHI,4,80,2.1637425034913,2.1624061685579585
2020_06_CHI_CAR,0,79,2.103716554623138,2.108874395011895
2020_06_CIN_IND,0,87,2.8255758415861276,2.8538372262817915
2020_06_CLE_PIT,4,58,2.980616897515048,2.88170293417605
2020_06_DEN_NE,0,61,3.349978811136451,3.319047822521846
2020_06_DET_JAX,4,79,2.1644238933649076,2.1917285009175274
2020_06_GB_TB,0,71,3.0749229812525005,3.01968678537121
2020_06_HOU_TEN,3,85,2.5372033516318453,2.492320183232299
2020_06_KC_BUF,1,64,1.3414708001855886,1.3567005537606818
2020_06_LA_SF,4,73,2.3675402967543087,2.4341135635615645
2020_06_NYJ_MIA,3,79,2.149722236235509,2.128536912056553
2020_06_WAS_NYG,0,68,3.5457744539324074,3.5538699141533163
2020_07_BUF_NYJ,0,77,1.4512461617971095,1.4736556568543226
2020_07_CAR_NO,4,68,2.588417327482707,2.6543516119075807
2020_07_CHI_LA,2,79,2.2793810548449995,2.204194249640613
2020_07_CLE_CIN,4,81,3.4100024562047575,3.36819319570692
2020_07_DAL_WAS,1,59,2.345835589926956,2.30590346678406
2020_07_DET_ATL,1,79,2.369352129516234,2.362452975953411
2020_07_GB_HOU,1,82,1.7328893117798339,1.7119055784849384
2020_07_JAX_LAC,1,84,2.410728150294534,2.3858917740460157
2020_07_KC_DEN,3,73,2.9127856544387183,2.909697169671031
2020_07_NYG_PHI,0,82,2.2240431911881138,2.207382160709545
2020_07_PIT_TEN,4,83,2.40059742583149,2.3946291159020503
2020_07_SEA_ARI,2,105,3.68018168179409,3.6765063961884845
2020_07_SF_NE,0,57,2.535147336795169,2.535703897373227
2020_07_TB_LV,0,84,2.364508398024158,2.3287793590903143
2020_08_ATL_CAR,3,70,1.7507121806409751,1.7426527998158212
2020_08_DAL_PHI,4,78,3.702491305026382,3.794694126748154
2020_08_IND_DET,3,83,3.4726676920553823,3.4217024814272463
2020_08_LAC_DEN,3,91,2.458201361961,2.4561261700683055
2020_08_LA_MIA,4,86,4.075572933827522,3.959837677297648
2020_08_LV_CLE,3,58,1.3212144315251668,1.364376421954696
2020_08_MIN_GB,2,58,2.460931175086753,2.4726233181562196
2020_08_NE_BUF,3,50,1.386102852631813,1.3872943873351542
2020_08_NO_CHI,4,89,1.838209229305153,1.8438809190110368
2020_08_NYJ_KC,3,81,2.0296589425842644,2.008799796249844
2020_08_PIT_BAL,0,70,3.647610676423574,3.6028345769033057
2020_08_SF_SEA,2,85,1.8102043682529363,1.7969540005241849
2020_08_TB_NYG,4,88,2.4135627636454684,2.4326246800428613
2020_08_TEN_CIN,4,71,2.164916517145998,2.1318741089575046
2020_09_BAL_IND,3,71,1.6287146856155372,1.5859084061667956
2020_09_CAR_KC,2,99,1.8101172531523684,1.840848209533318
2020_09_CHI_TEN,2,81,3.1500679734340764,3.162742086399015
2020_09_DEN_ATL,0,93,2.4530602139362863,2.4671691705143126
2020_09_DET_MIN,3,68,3.162818924153409,3.1572948295729426
2020_09_GB_SF,0,69,3.150703926607059,3.181804275012118
2020_09_HOU_JAX,1,81,2.8181525715306894,2.7922808982799476
2020_09_LV_LAC,4,72,2.3082955301944477,2.30560800100161
2020_09_MIA_ARI,0,65,3.2306717638964217,3.2678465282884757
2020_09_NE_NYJ,4,61,1.7654909711166382,1.738177028187987
2020_09_NO_TB,2,78,2.973435484931176,2.9038933596908865
2020_09_NYG_WAS,4,80,2.2995122351962047,2.3045607673643302
2020_09_PIT_DAL,2,87,1.8234677887276773,1.8213780402310256
2020_09_SEA_BUF,3,95,2.865755441046791,2.8623982515507427
2020_10_BAL_NE,0,59,1.4891677708389268,1.5116218804008443
2020_10_BUF_ARI,0,90,2.3310025005444843,2.3511964688888005
2020_10_CIN_PIT,3,89,1.9142974595352018,1.854808150138252
2020_10_DEN_LV,0,76,3.06057608860194,3.090263100706026
2020_10_HOU_CLE,1,56,1.645638918776783,1.714580740375088
2020_10_IND_TEN,4,69,1.3077415117182543,1.2679594202106526
2020_10_JAX_GB,4,74,2.9484091797187975,2.9733410757331584
2020_10_LAC_MIA,3,62,1.8964029338933857,1.8603961257748465
2020_10_MIN_CHI,4,70,2.874531687279254,2.897179858285874
2020_10_PHI_NYG,3,74,1.3940454020388051,1.3995199709979904
2020_10_SEA_LA,1,92,2.069618410794235,2.032309226904219
2020_10_SF_NO,3,69,1.9586423439888654,1.9453283194224655
2020_10_TB_CAR,1,75,2.8125118969560843,2.788069293290212
2020_10_WAS_DET,4,92,1.9802462742747764,1.9449248949400855
2020_11_ARI_SEA,1,85,1.2408594523250898,1.228647919729061
2020_11_ATL_NO,0,75,2.085812188205249,2.028548247413103
2020_11_CIN_WAS,4,77,1.728250730036449,1.7228862117143167
2020_11_DAL_MIN,0,67,3.3366677307990553,3.337978307838134
2020_11_DET_CAR,3,75,2.1783297400333628,2.262843697639191
2020_11_GB_IND,4,76,3.0792953648486865,3.05932761351918
2020_11_KC_LV,0,81,1.7210750308051341,1.7143854477133655
2020_11_LA_TB,4,99,2.315716266605304,2.2668218262247297
2020_11_MIA_DEN,3,76,1.7256046536512546,1.7456182651657037
2020_11_NE_HOU,0,85,1.876318346483617,1.8862529493580102
2020_11_NYJ_LAC,3,86,3.088663576923317,3.0859788699159565
2020_11_PHI_CLE,1,64,3.7659693514600794,3.8214158783206806
2020_11_PIT_JAX,4,85,2.2216795510872056,2.131330422407897
2020_11_TEN_BAL,2,69,2.4915255969182026,2.5260466552901018
2020_12_ARI_NE,4,59,2.2108737530448384,2.199381204939714
2020_12_BAL_PIT,2,73,2.410614979954751,2.3178114559698533
2020_12_CAR_MIN,1,85,2.563524949088902,2.5628200176211102
2020_12_CHI_GB,4,81,2.1830643739476225,2.1953080642273575
2020_12_CLE_JAX,4,67,2.043499232686924,2.03862175224175
2020_12_HOU_DET,1,78,2.865497797762257,2.8553936757749283
2020_12_KC_TB,0,96,3.3486977802328415,3.3586930225917144
2020_12_LAC_BUF,3,84,1.919908504718015,1.9211458904132523
2020_12_LV_ATL,2,86,4.314157962852578,4.43403997541249
2020_12_MIA_NYJ,2,75,2.1086896764462213,2.0879579557408787
2020_12_NO_DEN,4,32,2.717431774560858,2.6014610254489723
2020_12_NYG_CIN,2,76,2.5946647189450407,2.6296804163256717
2020_12_SEA_PHI,2,89,2.180167054041085,2.213578055291502
2020_12_SF_LA,2,74,3.777929169316872,3.7421909725462736
2020_12_TEN_IND,3,70,2.437565821082915,2.4694777537984414
2020_12_WAS_DAL,4,72,3.4438187293442013,3.4315303865079025
2020_13_BUF_SF,4,82,2.1999567911755356,2.210599568200324
2020_13_CIN_MIA,1,73,2.2756616291530016,2.2507656071148405
2020_13_CLE_TEN,2,84,2.9509061184955776,2.8823774837540874
2020_13_DAL_BAL,2,71,2.0602176145336193,2.1114313427399374
2020_13_DEN_KC,0,73,1.6040825602663953,1.6084721749820823
2020_13_DET_CHI,3,81,2.4033447752875663,2.3945251246128967
2020_13_IND_HOU,4,86,2.2517974851600937,2.2324117524800546
2020_13_JAX_MIN,0,94,3.0617152414531055,3.0970145954265704
2020_13_LA_ARI,1,89,2.904967733165816,2.853276043305721
2020_13_LV_NYJ,0,78,3.7507283448831354,3.755021832146673
2020_13_NE_LAC,2,81,2.189264446229694,2.227436541087279
2020_13_NO_ATL,0,85,2.5881445257479347,2.551961921134073
2020_13_NYG_SEA,0,79,2.164021746186341,2.2496875643576235
2020_13_PHI_GB,3,77,2.1673566859076727,2.176526993297723
2020_13_WAS_PIT,4,102,1.9054904196486726,1.9229110067503354
2020_14_ARI_NYG,1,76,2.7041622273555155,2.707471239157883
2020_14_ATL_LAC,1,81,2.2885776969044485,2.293371711126314
2020_14_BAL_CLE,2,82,2.877812856550809,2.9041827918775276
2020_14_DAL_CIN,3,67,2.129776814911335,2.0982702336080905
2020_14_DEN_CAR,0,76,2.8414008401879203,2.832280920045038
2020_14_GB_DET,0,81,1.4775871559428788,1.4562059656308481
2020_14_HOU_CHI,1,82,1.9576730398068944,1.9348585564106444
2020_14_IND_LV,4,76,3.994503998908579,3.992342078180265
2020_14_KC_MIA,1,97,2.9447181985369966,2.941471166293644
