season,dropback_player_id,player,games_with_dropbacks,dropbacks,raw_epa_db,adjusted_epa_db,resampled_rate_p025,resampled_rate_p975,status
2020,00-0023459,A.Rodgers,16,567,0.34095462658485065,0.33318621378015456,0.17613498356896398,0.48361191064656406,conditional_game_resampling
2020,00-0033873,P.Mahomes,15,649,0.2912173363463624,0.2901392338974683,0.17737795571804424,0.4120113303206373,conditional_game_resampling
2020,00-0034857,J.Allen,16,627,0.2885111125402005,0.2880952213654386,0.17131041146080606,0.4086773577274786,conditional_game_resampling
2020,00-0029701,R.Tannehill,16,525,0.2556253163971078,0.2526938625945688,0.13233661514936698,0.3762018499525106,conditional_game_resampling
2020,00-0033537,D.Watson,16,653,0.21943788622186092,0.21419983856554478,0.12130037690492869,0.31005679744652337,conditional_game_resampling
2020,00-0019596,T.Brady,16,631,0.19044571056501747,0.1959884047786729,0.0316028281077997,0.35520981815893377,conditional_game_resampling
2020,00-0031345,J.Garoppolo,6,155,0.16575904229157368,0.18073455181040743,-0.20407381693456075,0.5212835826711453,conditional_game_resampling
2020,00-0023682,R.Fitzpatrick,9,295,0.17832127676862897,0.1708259752056149,-0.011318801254184763,0.39331345051446814,conditional_game_resampling
2020,00-0034855,B.Mayfield,16,532,0.16774626003201062,0.1690077326069671,0.0017622839297366912,0.33971646680549594,conditional_game_resampling
2020,00-0034796,L.Jackson,15,451,0.17476308025458606,0.16890543995797586,0.028426726421460952,0.31358934584362613,conditional_game_resampling
2020,00-0020531,D.Brees,12,403,0.1542737853353593,0.15831146544714325,0.06399515788533852,0.2609958951637993,conditional_game_resampling
2020,00-0029604,K.Cousins,16,569,0.16058591890284676,0.14762989038584362,0.054628838573588176,0.23661376819428992,conditional_game_resampling
2020,00-0022942,P.Rivers,16,560,0.16678330458517054,0.1450134160929836,0.0327918913514006,0.255223063346807,conditional_game_resampling
2020,00-0029263,R.Wilson,16,657,0.13185367022262448,0.14113245061322624,0.035342500525231496,0.25275247408501605,conditional_game_resampling
2020,00-0036355,J.Herbert,15,648,0.13914735635625766,0.1393693862361056,-0.009608740484552432,0.2800263973639606,conditional_game_resampling
2020,00-0026498,M.Stafford,16,575,0.1195438929368485,0.12154714965731915,0.012237331220275845,0.2317425306506744,conditional_game_resampling
2020,00-0033077,D.Prescott,5,239,0.12191953670187174,0.1119687960414741,0.04708484076016901,0.17122264882153887,conditional_game_resampling
2020,00-0031237,T.Bridgewater,15,558,0.09549510294756935,0.10892992375564264,-0.011988276402378331,0.230724876304803,conditional_game_resampling
2020,00-0026143,M.Ryan,16,682,0.1028768294048383,0.10370225976662567,-0.0170267889595873,0.23222990706150334,conditional_game_resampling
2020,00-0031280,D.Carr,16,562,0.09171809140040103,0.09630527721818324,-0.05549864979703064,0.22850083814721225,conditional_game_resampling
2020,00-0033936,C.Beathard,6,113,0.0937088116308486,0.08901693682793936,-0.15918919922482533,0.3121857529149721,conditional_game_resampling
2020,00-0035228,K.Murray,16,627,0.08074808999027533,0.08156782597239702,-0.014629545035850235,0.17178095713355737,conditional_game_resampling
2020,00-0033869,M.Trubisky,9,332,0.10638607148041884,0.0812177780372217,-0.024345788728139514,0.19793704143210894,conditional_game_resampling
2020,00-0036442,J.Burrow,10,449,0.06838107672190513,0.07220962537804186,-0.12317144797133682,0.2368396327977348,conditional_game_resampling
2020,00-0022924,B.Roethlisberger,15,624,0.07386337804690256,0.06977441971134327,-0.03547423421629145,0.16876501200550045,conditional_game_resampling
2020,00-0035289,G.Minshew II,9,377,0.08201202945664289,0.06369465493834958,-0.04028591285807087,0.17513579469550972,conditional_game_resampling
2020,00-0033357,T.Hill,12,152,0.07195532325175288,0.06173841464640851,-0.16648802504130805,0.31744130228024375,conditional_game_resampling
2020,00-0036389,J.Hurts,8,184,0.01366630719120919,0.031214865232123114,-0.1695673890981164,0.21198268236409187,conditional_game_resampling
2020,00-0033319,N.Mullens,10,347,0.009091425890237002,0.024025199393939288,-0.20945067528468606,0.2747526024157502,conditional_game_resampling
2020,00-0033106,J.Goff,15,595,0.01690785821439993,0.023189926125731786,-0.1471223326566374,0.19959465698500212,conditional_game_resampling
2020,00-0027973,A.Dalton,11,372,-0.02319678755672924,-0.018825212700113305,-0.17125148832733147,0.1569658510191122,conditional_game_resampling
2020,00-0035710,D.Jones,14,513,-0.046300554148690665,-0.02767775648326792,-0.11984141531509591,0.05650152031535559,conditional_game_resampling
2020,00-0027939,C.Newton,15,417,-0.030545033539819796,-0.03397444354715026,-0.24102794061030755,0.14146901768759598,conditional_game_resampling
2020,00-0036212,T.Tagovailoa,10,323,-0.030725611867305026,-0.03480152425569894,-0.1808259105084645,0.12099844939490614,conditional_game_resampling
2020,00-0026158,J.Flacco,5,146,-0.049178308903866395,-0.03747271897157029,-0.2805758508642971,0.28399494204958037,conditional_game_resampling
2020,00-0035704,D.Lock,13,481,-0.08515676692475263,-0.08818928971966913,-0.2245819659171642,0.037986624213997885,conditional_game_resampling
2020,00-0032434,B.Allen,5,154,-0.10627699275715745,-0.11850004871446454,-0.6992855535889599,0.32289693499015193,conditional_game_resampling
2020,00-0029567,N.Foles,9,332,-0.13156532313745617,-0.11889690303479664,-0.25148749687680766,-0.005345456837328673,conditional_game_resampling
