season,dropback_player_id,player,games_with_dropbacks,dropbacks,raw_epa_db,adjusted_epa_db,resampled_rate_p025,resampled_rate_p975,status
2017,00-0031345,J.Garoppolo,6,188,0.3212653407428806,0.3413930447335664,0.27892690988340074,0.4411142106136694,conditional_game_resampling
2017,00-0032950,C.Wentz,13,498,0.20432707833955868,0.21406537730358835,0.08368908360970843,0.34807433971406165,conditional_game_resampling
2017,00-0019596,T.Brady,16,622,0.2214521093338234,0.21274434937311182,0.10475926595221512,0.3249424729003986,conditional_game_resampling
2017,00-0023436,A.Smith,15,572,0.18778033651191056,0.18006815784033722,0.031985622193434225,0.32910098043503994,conditional_game_resampling
2017,00-0022942,P.Rivers,16,593,0.18582314379279585,0.17997095645208022,0.047134021407128295,0.3236167220295701,conditional_game_resampling
2017,00-0033106,J.Goff,15,510,0.1574734287283679,0.16761765023794406,0.03222359923181731,0.32400901274622834,conditional_game_resampling
2017,00-0033537,D.Watson,7,240,0.1690209928985375,0.16624785486610585,-0.08322047965439945,0.3746014190032555,conditional_game_resampling
2017,00-0022924,B.Roethlisberger,15,589,0.1515914000563919,0.1540814481671282,0.04107673995858753,0.24970108615448994,conditional_game_resampling
2017,00-0020531,D.Brees,16,558,0.15458604801520753,0.1529158861083491,0.046483489775732786,0.25540252181085804,conditional_game_resampling
2017,00-0026143,M.Ryan,16,567,0.1523422273910919,0.14910435710092523,0.0383728140096219,0.26291118040524075,conditional_game_resampling
2017,00-0028986,C.Keenum,15,522,0.1268431460367976,0.12618288604439032,-0.008100235548986782,0.2730541480586113,conditional_game_resampling
2017,00-0023459,A.Rodgers,7,275,0.11185845933301182,0.12405054005782805,0.012327988959707612,0.25668709136958767,conditional_game_resampling
2017,00-0031503,J.Winston,13,495,0.08442456689695178,0.09443396958511646,-0.029935096640311448,0.21144431608677206,conditional_game_resampling
2017,00-0026498,M.Stafford,16,629,0.06289563370044014,0.07178084761206334,-0.06094649867264129,0.22679714556373773,conditional_game_resampling
2017,00-0029263,R.Wilson,16,645,0.06704303767114199,0.06586945289167098,-0.05411878691265937,0.17081582112935623,conditional_game_resampling
2017,00-0031407,B.Bortles,16,570,0.06581443608079532,0.05920629146666212,-0.09576688215522777,0.23449061518279884,conditional_game_resampling
2017,00-0021206,J.McCown,13,445,0.046280636891169784,0.038506720818739675,-0.10285817399944866,0.1846233985577505,conditional_game_resampling
