column,dtype,null_count,nan_count,null_fraction
play_id,Float64,0,0,0.0
game_id,String,0,0,0.0
old_game_id,String,0,0,0.0
home_team,String,0,0,0.0
away_team,String,0,0,0.0
season_type,String,0,0,0.0
week,Int32,0,0,0.0
posteam,String,2541,0,0.053938737820798575
posteam_type,String,2541,0,0.053938737820798575
defteam,String,2541,0,0.053938737820798575
side_of_field,String,3387,0,0.07189708972807744
yardline_100,Float64,3359,0,0.07130272347109894
game_date,String,0,0,0.0
quarter_seconds_remaining,Float64,52,0,0.0011038230486743509
half_seconds_remaining,Float64,52,0,0.0011038230486743509
game_seconds_remaining,Float64,52,0,0.0011038230486743509
game_half,String,0,0,0.0
quarter_end,Float64,0,0,0.0
drive,Float64,533,0,0.011314186248912098
sp,Float64,0,0,0.0
qtr,Float64,0,0,0.0
down,Float64,7591,0,0.16113693774013457
goal_to_go,Int32,0,0,0.0
time,String,52,0,0.0011038230486743509
yrdln,String,347,0,0.007365896113269227
ydstogo,Float64,0,0,0.0
ydsnet,Float64,533,0,0.011314186248912098
desc,String,0,0,0.0
play_type,String,1402,0,0.029760767581566157
yards_gained,Float64,1459,0,0.03097072746184381
shotgun,Float64,0,0,0.0
no_huddle,Float64,0,0,0.0
qb_dropback,Float64,1402,0,0.029760767581566157
qb_kneel,Float64,0,0,0.0
qb_spike,Float64,0,0,0.0
qb_scramble,Float64,0,0,0.0
pass_length,String,28704,0,0.6093103228682417
pass_location,String,28704,0,0.6093103228682417
air_yards,Float64,28623,0,0.6075909061962682
yards_after_catch,Float64,35149,0,0.7461206988048993
run_location,String,33773,0,0.7169118427476703
run_gap,String,37796,0,0.8023095374556879
field_goal_result,String,46120,0,0.9790061347088667
kick_distance,Float64,39779,0,0.8444034048695578
extra_point_result,String,45829,0,0.9728289711095545
two_point_conv_result,String,46971,0,0.9970706234477489
home_timeouts_remaining,Float64,0,0,0.0
away_timeouts_remaining,Float64,0,0,0.0
timeout,Float64,1459,0,0.03097072746184381
timeout_team,String,45014,0,0.9555286675582161
td_team,String,45684,0,0.9697510029930586
td_player_name,String,45684,0,0.9697510029930586
td_player_id,String,45684,0,0.9697510029930586
posteam_timeouts_remaining,Float64,2541,0,0.053938737820798575
defteam_timeouts_remaining,Float64,2541,0,0.053938737820798575
total_home_score,Float64,0,0,0.0
total_away_score,Float64,0,0,0.0
posteam_score,Float64,2548,0,0.054087329385043195
defteam_score,Float64,2548,0,0.054087329385043195
