fold,games,dropbacks,mse_reduction
0,54,3929,0.0046596167157810005
1,55,3975,0.009211246364824727
2,54,3927,0.00936679320214422
3,54,3928,0.0028724640397869193
4,55,3975,0.0028401227347288013
