column,dtype,null_count,nan_count,null_fraction
play_id,Float64,0,0,0.0
game_id,String,0,0,0.0
old_game_id,String,0,0,0.0
home_team,String,0,0,0.0
away_team,String,0,0,0.0
season_type,String,0,0,0.0
week,Int32,0,0,0.0
posteam,String,2439,0,0.051608125264494285
posteam_type,String,2439,0,0.051608125264494285
defteam,String,2439,0,0.051608125264494285
side_of_field,String,3284,0,0.0694879390605163
yardline_100,Float64,3266,0,0.0691070672873466
game_date,String,0,0,0.0
quarter_seconds_remaining,Float64,46,0,0.0009733389758781211
half_seconds_remaining,Float64,46,0,0.0009733389758781211
game_seconds_remaining,Float64,46,0,0.0009733389758781211
game_half,String,0,0,0.0
quarter_end,Float64,0,0,0.0
drive,Float64,549,0,0.011616589081675836
sp,Float64,0,0,0.0
qtr,Float64,0,0,0.0
down,Float64,7428,0,0.15717308506136268
goal_to_go,Int32,0,0,0.0
time,String,46,0,0.0009733389758781211
yrdln,String,360,0,0.00761743546339399
ydstogo,Float64,0,0,0.0
ydsnet,Float64,549,0,0.011616589081675836
desc,String,0,0,0.0
play_type,String,1407,0,0.02977147693609818
yards_gained,Float64,1466,0,0.03101988997037664
shotgun,Float64,0,0,0.0
no_huddle,Float64,0,0,0.0
qb_dropback,Float64,1407,0,0.02977147693609818
qb_kneel,Float64,0,0,0.0
qb_spike,Float64,0,0,0.0
qb_scramble,Float64,0,0,0.0
pass_length,String,28783,0,0.6090351248413034
pass_location,String,28783,0,0.6090351248413034
air_yards,Float64,28705,0,0.6073846804909014
yards_after_catch,Float64,35482,0,0.7507829030892933
run_location,String,33790,0,0.7149809564113415
run_gap,String,37468,0,0.7928057553956834
field_goal_result,String,46242,0,0.9784595852729581
kick_distance,Float64,40017,0,0.8467414303851036
extra_point_result,String,45995,0,0.9732331781633516
two_point_conv_result,String,47141,0,0.9974820143884892
home_timeouts_remaining,Float64,0,0,0.0
away_timeouts_remaining,Float64,0,0,0.0
timeout,Float64,1466,0,0.03101988997037664
timeout_team,String,45227,0,0.9569826491747778
td_team,String,45866,0,0.9705035971223022
td_player_name,String,45866,0,0.9705035971223022
td_player_id,String,45866,0,0.9705035971223022
posteam_timeouts_remaining,Float64,2439,0,0.051608125264494285
defteam_timeouts_remaining,Float64,2439,0,0.051608125264494285
total_home_score,Float64,0,0,0.0
total_away_score,Float64,0,0,0.0
posteam_score,Float64,2439,0,0.051608125264494285
defteam_score,Float64,2439,0,0.051608125264494285
