column,dtype,null_count,nan_count,null_fraction
play_id,Float64,0,0,0.0
game_id,String,0,0,0.0
old_game_id,String,0,0,0.0
home_team,String,0,0,0.0
away_team,String,0,0,0.0
season_type,String,0,0,0.0
week,Int32,0,0,0.0
posteam,String,2532,0,0.053076197463578244
posteam_type,String,2532,0,0.053076197463578244
defteam,String,2532,0,0.053076197463578244
side_of_field,String,3341,0,0.07003458756943716
yardline_100,Float64,3307,0,0.0693218740173986
game_date,String,0,0,0.0
quarter_seconds_remaining,Float64,4,0,0.00008384865318100828
half_seconds_remaining,Float64,4,0,0.00008384865318100828
game_seconds_remaining,Float64,4,0,0.00008384865318100828
game_half,String,0,0,0.0
quarter_end,Float64,0,0,0.0
drive,Float64,527,0,0.01104706005659784
sp,Float64,0,0,0.0
qtr,Float64,0,0,0.0
down,Float64,7804,0,0.16358872235614716
goal_to_go,Float64,0,0,0.0
time,String,4,0,0.00008384865318100828
yrdln,String,325,0,0.0068127030709569224
ydstogo,Float64,0,0,0.0
ydsnet,Float64,527,0,0.01104706005659784
desc,String,0,0,0.0
play_type,String,1359,0,0.028487579918247564
yards_gained,Float64,1408,0,0.029514725919714914
shotgun,Float64,0,0,0.0
no_huddle,Float64,0,0,0.0
qb_dropback,Float64,1359,0,0.028487579918247564
qb_kneel,Float64,0,0,0.0
qb_spike,Float64,0,0,0.0
qb_scramble,Float64,0,0,0.0
pass_length,String,28816,0,0.6040456975159837
pass_location,String,28816,0,0.6040456975159837
air_yards,Float64,28738,0,0.602410648778954
yards_after_catch,Float64,35344,0,0.7408866995073892
run_location,String,33791,0,0.7083324599098627
run_gap,String,37404,0,0.7840687558956084
field_goal_result,String,46690,0,0.9787234042553191
kick_distance,Float64,40405,0,0.8469762079446599
extra_point_result,String,46310,0,0.9707577822031234
two_point_conv_result,String,47562,0,0.9970024106487789
home_timeouts_remaining,Float64,0,0,0.0
away_timeouts_remaining,Float64,0,0,0.0
timeout,Float64,1408,0,0.029514725919714914
timeout_team,String,45641,0,0.9567340949585997
td_team,String,46162,0,0.967655382035426
td_player_name,String,46162,0,0.967655382035426
td_player_id,String,46162,0,0.967655382035426
posteam_timeouts_remaining,Float64,2532,0,0.053076197463578244
defteam_timeouts_remaining,Float64,2532,0,0.053076197463578244
total_home_score,Float64,0,0,0.0
total_away_score,Float64,0,0,0.0
posteam_score,Float64,2532,0,0.053076197463578244
defteam_score,Float64,2532,0,0.053076197463578244
