column,dtype,null_count,nan_count,null_fraction
fumble_not_forced,Float64,1511,0,0.03098152590678887
fumble_out_of_bounds,Float64,1511,0,0.03098152590678887
solo_tackle,Float64,1511,0,0.03098152590678887
safety,Float64,1511,0,0.03098152590678887
penalty,Float64,1511,0,0.03098152590678887
tackled_for_loss,Float64,1511,0,0.03098152590678887
fumble_lost,Float64,1511,0,0.03098152590678887
own_kickoff_recovery,Float64,1511,0,0.03098152590678887
own_kickoff_recovery_td,Float64,1511,0,0.03098152590678887
qb_hit,Float64,1511,0,0.03098152590678887
rush_attempt,Float64,1511,0,0.03098152590678887
pass_attempt,Float64,1511,0,0.03098152590678887
sack,Float64,1511,0,0.03098152590678887
touchdown,Float64,1511,0,0.03098152590678887
pass_touchdown,Float64,1511,0,0.03098152590678887
rush_touchdown,Float64,1511,0,0.03098152590678887
return_touchdown,Float64,1511,0,0.03098152590678887
extra_point_attempt,Float64,1511,0,0.03098152590678887
two_point_attempt,Float64,1511,0,0.03098152590678887
field_goal_attempt,Float64,1511,0,0.03098152590678887
kickoff_attempt,Float64,1511,0,0.03098152590678887
punt_attempt,Float64,1511,0,0.03098152590678887
fumble,Float64,1511,0,0.03098152590678887
complete_pass,Float64,1511,0,0.03098152590678887
assist_tackle,Float64,1511,0,0.03098152590678887
lateral_reception,Float64,1511,0,0.03098152590678887
lateral_rush,Float64,1511,0,0.03098152590678887
lateral_return,Float64,1511,0,0.03098152590678887
lateral_recovery,Float64,1511,0,0.03098152590678887
passer_player_id,String,28952,0,0.5936314613192266
passer_player_name,String,28952,0,0.5936314613192266
passing_yards,Float64,37022,0,0.7590986446863915
receiver_player_id,String,31189,0,0.6394988825326526
receiver_player_name,String,31189,0,0.6394988825326526
receiving_yards,Float64,37022,0,0.7590986446863915
rusher_player_id,String,33424,0,0.6853252957700273
rusher_player_name,String,33424,0,0.6853252957700273
rushing_yards,Float64,33456,0,0.6859814233868488
lateral_receiver_player_id,String,48752,0,0.9996104242275122
lateral_receiver_player_name,String,48752,0,0.9996104242275122
lateral_receiving_yards,Float64,48752,0,0.9996104242275122
lateral_rusher_player_id,String,48770,0,0.9999794960119743
lateral_rusher_player_name,String,48770,0,0.9999794960119743
lateral_rushing_yards,Float64,48770,0,0.9999794960119743
lateral_sack_player_id,String,48771,0,1.0
lateral_sack_player_name,String,48771,0,1.0
interception_player_id,String,48365,0,0.9916753808615776
interception_player_name,String,48365,0,0.9916753808615776
lateral_interception_player_id,String,48770,0,0.9999794960119743
lateral_interception_player_name,String,48770,0,0.9999794960119743
punt_returner_player_id,String,47354,0,0.9709458489676241
punt_returner_player_name,String,47354,0,0.9709458489676241
lateral_punt_returner_player_id,String,48771,0,1.0
lateral_punt_returner_player_name,String,48771,0,1.0
kickoff_returner_player_name,String,46598,0,0.955444834020217
kickoff_returner_player_id,String,46598,0,0.955444834020217
lateral_kickoff_returner_player_id,String,48771,0,1.0
lateral_kickoff_returner_player_name,String,48771,0,1.0
punter_player_id,String,46729,0,0.9581308564515798
punter_player_name,String,46729,0,0.9581308564515798
kicker_player_name,String,43389,0,0.8896475364458387
kicker_player_id,String,43389,0,0.8896475364458387
own_kickoff_recovery_player_id,String,48765,0,0.999876976071846
own_kickoff_recovery_player_name,String,48765,0,0.999876976071846
blocked_player_id,String,48725,0,0.9990568165508191
blocked_player_name,String,48725,0,0.9990568165508191
tackle_for_loss_1_player_id,String,46054,0,0.9442906645342519
tackle_for_loss_1_player_name,String,46054,0,0.9442906645342519
tackle_for_loss_2_player_id,String,48771,0,1.0
tackle_for_loss_2_player_name,String,48771,0,1.0
qb_hit_1_player_id,String,45731,0,0.9376678764019601
qb_hit_1_player_name,String,45731,0,0.9376678764019601
qb_hit_2_player_id,String,48621,0,0.9969244017961494
qb_hit_2_player_name,String,48621,0,0.9969244017961494
forced_fumble_player_1_team,String,48375,0,0.9918804207418342
forced_fumble_player_1_player_id,String,48375,0,0.9918804207418342
forced_fumble_player_1_player_name,String,48375,0,0.9918804207418342
forced_fumble_player_2_team,String,48768,0,0.999938488035923
forced_fumble_player_2_player_id,String,48768,0,0.999938488035923
forced_fumble_player_2_player_name,String,48768,0,0.999938488035923
solo_tackle_1_team,String,28149,0,0.5771667589346128
solo_tackle_2_team,String,48713,0,0.9988107686945111
solo_tackle_1_player_id,String,28149,0,0.5771667589346128
solo_tackle_2_player_id,String,48713,0,0.9988107686945111
solo_tackle_1_player_name,String,28149,0,0.5771667589346128
solo_tackle_2_player_name,String,48713,0,0.9988107686945111
assist_tackle_1_player_id,String,39891,0,0.8179245863320416
assist_tackle_1_player_name,String,39891,0,0.8179245863320416
assist_tackle_1_team,String,39891,0,0.8179245863320416
assist_tackle_2_player_id,String,40594,0,0.8323388899140883
assist_tackle_2_player_name,String,40594,0,0.8323388899140883
assist_tackle_2_team,String,40594,0,0.8323388899140883
assist_tackle_3_player_id,String,48770,0,0.9999794960119743
assist_tackle_3_player_name,String,48770,0,0.9999794960119743
assist_tackle_3_team,String,48770,0,0.9999794960119743
assist_tackle_4_player_id,String,48770,0,0.9999794960119743
assist_tackle_4_player_name,String,48770,0,0.9999794960119743
assist_tackle_4_team,String,48770,0,0.9999794960119743
tackle_with_assist,Float64,1511,0,0.03098152590678887
tackle_with_assist_1_player_id,String,48068,0,0.9855856964179532
tackle_with_assist_1_player_name,String,48068,0,0.9855856964179532
tackle_with_assist_1_team,String,48068,0,0.9855856964179532
tackle_with_assist_2_player_id,String,48771,0,1.0
tackle_with_assist_2_player_name,String,48771,0,1.0
tackle_with_assist_2_team,String,48771,0,1.0
pass_defense_1_player_id,String,46375,0,0.9508724446904923
pass_defense_1_player_name,String,46375,0,0.9508724446904923
pass_defense_2_player_id,String,48663,0,0.9977855692932275
pass_defense_2_player_name,String,48663,0,0.9977855692932275
fumbled_1_team,String,48195,0,0.9881897028972135
fumbled_1_player_id,String,48195,0,0.9881897028972135
fumbled_1_player_name,String,48195,0,0.9881897028972135
fumbled_2_player_id,String,48768,0,0.999938488035923
fumbled_2_player_name,String,48768,0,0.999938488035923
fumbled_2_team,String,48768,0,0.999938488035923
fumble_recovery_1_team,String,48243,0,0.9891738943224457
fumble_recovery_1_yards,Float64,48243,0,0.9891738943224457
fumble_recovery_1_player_id,String,48243,0,0.9891738943224457
fumble_recovery_1_player_name,String,48243,0,0.9891738943224457
fumble_recovery_2_team,String,48767,0,0.9999179840478973
fumble_recovery_2_yards,Float64,48767,0,0.9999179840478973
fumble_recovery_2_player_id,String,48767,0,0.9999179840478973
fumble_recovery_2_player_name,String,48767,0,0.9999179840478973
sack_player_id,String,47587,0,0.9757232781776055
sack_player_name,String,47587,0,0.9757232781776055
half_sack_1_player_id,String,48612,0,0.9967398659039183
half_sack_1_player_name,String,48612,0,0.9967398659039183
half_sack_2_player_id,String,48612,0,0.9967398659039183
half_sack_2_player_name,String,48612,0,0.9967398659039183
return_team,String,43510,0,0.8921285189969449
return_yards,Float64,1511,0,0.03098152590678887
penalty_team,String,45212,0,0.927026306616637
penalty_player_id,String,45506,0,0.9330544790961842
penalty_player_name,String,45506,0,0.9330544790961842
penalty_yards,Float64,45212,0,0.927026306616637
replay_or_challenge,Float64,0,0,0.0
replay_or_challenge_result,String,48436,0,0.9931311640114002
penalty_type,String,45212,0,0.927026306616637
defensive_two_point_attempt,Float64,1511,0,0.03098152590678887
defensive_two_point_conv,Float64,1511,0,0.03098152590678887
defensive_extra_point_attempt,Float64,1511,0,0.03098152590678887
defensive_extra_point_conv,Float64,1511,0,0.03098152590678887
safety_player_name,String,48762,0,0.999815464107769
safety_player_id,String,48762,0,0.999815464107769
season,Int32,0,0,0.0
cp,Float64,31281,0,0.6413852494310144
cpoe,Float64,31281,0,0.6413852494310144
series,Float64,0,0,0.0
series_success,Float64,0,0,0.0
series_result,String,1,0,0.000020503988025670993
order_sequence,Float64,0,0,0.0
start_time,String,0,0,0.0
time_of_day,String,1445,0,0.029628262697094586
stadium,String,0,0,0.0
weather,String,3508,0,0.07192798999405384
nfl_api_id,String,0,0,0.0
play_clock,String,0,0,0.0
play_deleted,Float64,0,0,0.0
play_type_nfl,String,0,0,0.0
special_teams_play,Float64,0,0,0.0
st_play_type,String,48771,0,1.0
end_clock_time,String,8456,0,0.1733817227450739
end_yard_line,String,48771,0,1.0
fixed_drive,Float64,0,0,0.0
fixed_drive_result,String,1,0,0.000020503988025670993
drive_real_start_time,String,572,0,0.011728281150683808
drive_play_count,Float64,572,0,0.011728281150683808
drive_time_of_possession,String,572,0,0.011728281150683808
drive_first_downs,Float64,572,0,0.011728281150683808
drive_inside20,Float64,572,0,0.011728281150683808
drive_ended_with_score,Float64,572,0,0.011728281150683808
drive_quarter_start,Float64,572,0,0.011728281150683808
drive_quarter_end,Float64,572,0,0.011728281150683808
drive_yards_penalized,Float64,572,0,0.011728281150683808
drive_start_transition,String,572,0,0.011728281150683808
drive_end_transition,String,572,0,0.011728281150683808
drive_game_clock_start,String,572,0,0.011728281150683808
drive_game_clock_end,String,572,0,0.011728281150683808
drive_start_yard_line,String,629,0,0.012897008468147054
drive_end_yard_line,String,629,0,0.012897008468147054
drive_play_id_started,Float64,572,0,0.011728281150683808
drive_play_id_ended,Float64,572,0,0.011728281150683808
away_score,Int32,0,0,0.0
home_score,Int32,0,0,0.0
location,String,0,0,0.0
result,Int32,0,0,0.0
total,Int32,0,0,0.0
spread_line,Float64,0,0,0.0
total_line,Float64,0,0,0.0
div_game,Int32,0,0,0.0
roof,String,0,0,0.0
surface,String,0,0,0.0
