game_id,play_id,dropback_player_id,dropback_player_name,identity_source,epa
2021_05_CHI_LV,2994.0,00-0033958,N.Peterman,scramble_rusher_id,-0.897571784676984
2021_14_SF_CIN,936.0,00-0036261,B.Aiyuk,scramble_rusher_id,-0.20452825259417295
2021_18_NE_MIA,815.0,00-0031363,M.Palardy,scramble_rusher_id,3.4569964662659913
