column,dtype,null_count,nan_count,null_fraction
play_id,Float64,0,0,0.0
game_id,String,0,0,0.0
old_game_id,String,0,0,0.0
home_team,String,0,0,0.0
away_team,String,0,0,0.0
season_type,String,0,0,0.0
week,Int32,0,0,0.0
posteam,String,2448,0,0.05181500687903482
posteam_type,String,2448,0,0.05181500687903482
defteam,String,2448,0,0.05181500687903482
side_of_field,String,3289,0,0.06961583236321303
yardline_100,Float64,3250,0,0.06879034818499312
game_date,String,0,0,0.0
quarter_seconds_remaining,Float64,44,0,0.0009313154831199069
half_seconds_remaining,Float64,44,0,0.0009313154831199069
game_seconds_remaining,Float64,44,0,0.0009313154831199069
game_half,String,0,0,0.0
quarter_end,Float64,0,0,0.0
drive,Float64,541,0,0.011450947190178855
sp,Float64,0,0,0.0
qtr,Float64,0,0,0.0
down,Float64,7275,0,0.1539845486294846
goal_to_go,Int32,0,0,0.0
time,String,44,0,0.0009313154831199069
yrdln,String,343,0,0.007260027516139274
ydstogo,Float64,0,0,0.0
ydsnet,Float64,541,0,0.011450947190178855
desc,String,0,0,0.0
play_type,String,1389,0,0.02939993650121706
yards_gained,Float64,1431,0,0.03028891946237697
shotgun,Float64,0,0,0.0
no_huddle,Float64,0,0,0.0
qb_dropback,Float64,1389,0,0.02939993650121706
qb_kneel,Float64,0,0,0.0
qb_spike,Float64,0,0,0.0
qb_scramble,Float64,0,0,0.0
pass_length,String,28972,0,0.6132289131124987
pass_location,String,28972,0,0.6132289131124987
air_yards,Float64,28915,0,0.6120224362366388
yards_after_catch,Float64,35860,0,0.7590221187427241
run_location,String,33456,0,0.7081384273468092
run_gap,String,37350,0,0.790559847602921
field_goal_result,String,46180,0,0.9774579320563023
kick_distance,Float64,39786,0,0.8421208593501958
extra_point_result,String,46053,0,0.9747698169118425
two_point_conv_result,String,47154,0,0.9980738702508202
home_timeouts_remaining,Float64,0,0,0.0
away_timeouts_remaining,Float64,0,0,0.0
timeout,Float64,1431,0,0.03028891946237697
timeout_team,String,45238,0,0.9575193142131443
td_team,String,45957,0,0.9727378558577627
td_player_name,String,45957,0,0.9727378558577627
td_player_id,String,45957,0,0.9727378558577627
posteam_timeouts_remaining,Float64,2448,0,0.05181500687903482
defteam_timeouts_remaining,Float64,2448,0,0.05181500687903482
total_home_score,Float64,0,0,0.0
total_away_score,Float64,0,0,0.0
posteam_score,Float64,2456,0,0.0519843369668748
defteam_score,Float64,2456,0,0.0519843369668748
