season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average,schedule_adjustment_total,schedule_adjustment_per_dropback,opponent_adjusted_epa_per_dropback,opponent_adjusted_epa_above_average,pass_plus,resampling_dropbacks,resampled_rate_p025,resampled_rate_p975,pass_plus_resampled_p025,pass_plus_resampled_p975
2019,00-0022824,A.Lee,1,1,4.240687240380794,4.240687240380794,1.0,0,0,0,0,19839,0.0422891649790085,4.198398075401785,4.198398075401785,0.021882115685514826,0.021882115685514826,4.262569356066309,4.2202801910873005,455.88717330157345,,,,,
2019,00-0031363,M.Palardy,1,1,3.804443590459414,3.804443590459414,1.0,0,0,0,0,19839,0.0422891649790085,3.7621544254804054,3.7621544254804054,-0.01550000248399564,-0.01550000248399564,3.7889435879754183,3.74665442299641,415.94732851007706,,,,,
2019,00-0027685,E.Sanders,1,1,3.320115084410645,3.320115084410645,1.0,0,0,0,0,19839,0.0422891649790085,3.2778259194316366,3.2778259194316366,0.023211519679225957,0.023211519679225957,3.343326604089871,3.3010374391108623,378.3694043937776,,,,,
2019,00-0031051,J.Brown,1,1,3.1874308812548406,3.1874308812548406,1.0,0,0,0,0,19839,0.0422891649790085,3.145141716275832,3.145141716275832,0.027595537819889656,0.027595537819889656,3.2150264190747304,3.172737254095722,367.550125077789,,,,,
2019,00-0027150,J.Edelman,2,2,5.536066588596441,2.7680332942982204,1.0,0,0,0,0,19839,0.0422891649790085,2.725744129319212,5.451488258638424,0.013772231038270598,0.006886115519135299,2.7749194098173557,5.4652604896766945,330.4368452994472,,,,,
2019,00-0034348,C.Sutton,1,1,2.553815155522898,2.553815155522898,1.0,0,0,0,0,19839,0.0422891649790085,2.5115259905438894,2.5115259905438894,0.035832353037004064,0.035832353037004064,2.589647508559902,2.5473583435808935,314.81326339368377,,,,,
2019,00-0034959,A.Beck,1,1,2.3515461592469364,2.3515461592469364,1.0,0,0,0,0,19839,0.0422891649790085,2.309256994267928,2.309256994267928,-0.03159870822683917,-0.03159870822683917,2.3199474510200973,2.2776582860410888,292.0700362212756,,,,,
2019,00-0031062,J.White,1,1,2.000194003863726,2.000194003863726,1.0,0,0,0,0,19839,0.0422891649790085,1.9579048388847173,1.9579048388847173,0.003393626218081293,0.003393626218081293,2.003587630081807,1.9612984651027987,265.39209131664757,,,,,
2019,00-0026035,D.Amendola,1,1,1.9585355066228658,1.9585355066228658,1.0,0,0,0,0,19839,0.0422891649790085,1.9162463416438573,1.9162463416438573,0.017182216535824652,0.017182216535824652,1.9757177231586904,1.933428558179682,263.0418818646798,,,,,
2019,00-0032543,A.Erickson,1,1,1.738960771006532,1.738960771006532,1.0,0,0,0,0,19839,0.0422891649790085,1.6966716060275235,1.6966716060275235,-0.030590624073862514,-0.030590624073862514,1.7083701469326695,1.666080981953661,240.4970343938789,,,,,
2019,00-0034860,D.Pettis,1,1,1.241805540630594,1.241805540630594,1.0,0,0,0,0,19839,0.0422891649790085,1.1995163756515854,1.1995163756515854,-0.051364877523529515,-0.051364877523529515,1.1904406631070643,1.1481514981280558,196.8211523144123,,,,,
2019,00-0033471,I.Ford,1,1,1.101926905568689,1.101926905568689,1.0,0,1,0,1,19839,0.0422891649790085,1.0596377405896806,1.0596377405896806,0.08053523888825045,0.08053523888825045,1.1824621444569396,1.1401729794779312,196.14834095569654,,,,,
2019,00-0028872,J.Hekker,3,3,3.2449600292020477,1.0816533430673492,0.6666666666666666,0,0,0,0,19839,0.0422891649790085,1.0393641780883407,3.1180925342650223,0.053257812396682716,0.01775260413222757,1.0994059471995767,3.171350346661705,189.14439004989532,,,,,
2019,00-0033906,A.Kamara,1,1,0.9648147185798734,0.9648147185798734,1.0,0,0,0,0,19839,0.0422891649790085,0.922525553600865,0.922525553600865,0.03545394873837168,0.03545394873837168,1.000268667318245,0.9579795023392367,180.7843559506702,,,,,
2019,00-0035297,K.Harmon,1,1,0.9028711734572425,0.9028711734572425,1.0,0,0,0,0,19839,0.0422891649790085,0.8605820084782341,0.8605820084782341,-0.050292247631273615,-0.050292247631273615,0.852578925825969,0.8102897608469605,168.32999694002248,,,,,
