season,defense_alpha,dropbacks,offense_only_mse,offense_defense_mse,mse_reduction,folds_improved
2020,100.0,19932,2.4785786329061703,2.4750328276757956,0.0035458052303747323,4
2020,1000.0,19932,2.4785786329061703,2.475250632994128,0.0033279999120421344,5
2021,100.0,20799,2.5122789299357295,2.515981402316572,-0.0037024723808425364,1
2021,1000.0,20799,2.5122789299357295,2.5120109163657567,0.0002680135699728581,2
2022,100.0,20210,2.4513208844181067,2.4530356554559405,-0.0017147710378337955,2
2022,1000.0,20210,2.4513208844181067,2.450885888300181,0.00043499611792574555,4
2023,100.0,20693,2.54237184439291,2.5411215898529695,0.001250254539940432,4
2023,1000.0,20693,2.54237184439291,2.5401476338484965,0.002224210544413463,5
2024,100.0,20116,2.464851700265566,2.469319313249395,-0.004467612983829028,0
2024,1000.0,20116,2.464851700265566,2.4651075870337604,-0.0002558867681945465,3
2025,100.0,19734,2.5099887904197544,2.504197857922535,0.005790932497219625,5
2025,1000.0,19734,2.5099887904197544,2.5055266209560156,0.004462169463738785,5
