season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average,schedule_adjustment_total,schedule_adjustment_per_dropback,opponent_adjusted_epa_per_dropback,opponent_adjusted_epa_above_average
2024,00-0035190,A.Cole,1,1,4.333918029908091,4.333918029908091,1.0,0,0,0,0,20116,0.05235087245648106,4.28156715745161,4.28156715745161,0.02944234039594285,0.02944234039594285,4.363360370304034,4.311009497847553
2024,00-0034348,C.Sutton,2,2,7.49073817639146,3.74536908819573,1.0,0,0,0,0,20116,0.05235087245648106,3.693018215739249,7.386036431478498,-0.052818514776468053,-0.026409257388234027,3.718959830807496,7.33321791670203
2024,00-0035156,J.Fox,1,1,3.637429093476385,3.637429093476385,1.0,0,0,0,0,20116,0.05235087245648106,3.585078221019904,3.585078221019904,-0.04513923668741371,-0.04513923668741371,3.5922898567889714,3.5399389843324904
2024,00-0033319,N.Mullens,2,2,4.8687256226548925,2.4343628113274463,1.0,0,0,0,0,20116,0.05235087245648106,2.3820119388709653,4.764023877741931,0.02248754188356953,0.011243770941784765,2.445606582269231,4.7865114196255005
2024,00-0039890,A.Mitchell,1,1,2.4456588270841166,2.4456588270841166,1.0,0,0,0,0,20116,0.05235087245648106,2.3933079546276357,2.3933079546276357,-0.07367476747365233,-0.07367476747365233,2.3719840596104644,2.3196331871539835
2024,00-0031588,S.Diggs,2,2,4.61484260490397,2.307421302451985,1.0,0,1,0,0,20116,0.05235087245648106,2.255070429995504,4.510140859991008,-0.037208650839174615,-0.018604325419587307,2.288816977032398,4.472932209151834
2024,00-0038543,J.Smith-Njigba,1,1,2.243609394179657,2.243609394179657,1.0,0,0,0,0,20116,0.05235087245648106,2.191258521723176,2.191258521723176,-0.02982226948363823,-0.02982226948363823,2.213787124696019,2.161436252239538
2024,00-0036963,St. Brown,1,1,1.72411598067265,1.72411598067265,1.0,0,0,0,0,20116,0.05235087245648106,1.671765108216169,1.671765108216169,0.027529981770710404,0.027529981770710404,1.7516459624433605,1.6992950899868795
2024,00-0035685,D.Montgomery,1,1,1.5191485377727076,1.5191485377727076,1.0,0,0,0,0,20116,0.05235087245648106,1.4667976653162267,1.4667976653162267,0.004447100268794571,0.004447100268794571,1.523595638041502,1.4712447655850212
2024,00-0034577,K.Allen,1,1,1.4325529362540692,1.4325529362540692,1.0,0,0,0,0,20116,0.05235087245648106,1.3802020637975883,1.3802020637975883,-0.0037824015849542286,-0.0037824015849542286,1.428770534669115,1.3764196622126341
2024,00-0036322,J.Jefferson,2,2,2.832186913350597,1.4160934566752985,0.5,0,1,0,0,20116,0.05235087245648106,1.3637425842188176,2.727485168437635,0.012710770941358536,0.006355385470679268,1.4224488421459778,2.7401959393789936
2024,00-0039491,J.Coker,1,1,1.3107093420112506,1.3107093420112506,1.0,0,0,0,0,20116,0.05235087245648106,1.2583584695547696,1.2583584695547696,-0.01834384076497354,-0.01834384076497354,1.292365501246277,1.240014628789796
2024,00-0035264,J.Stidham,1,1,1.2270381833077408,1.2270381833077408,1.0,0,1,0,1,20116,0.05235087245648106,1.1746873108512599,1.1746873108512599,0.005219418851118119,0.005219418851118119,1.232257602158859,1.179906729702378
2024,00-0034418,C.Wilson,2,2,1.1512166903703474,0.5756083451851737,0.5,1,0,0,0,20116,0.05235087245648106,0.5232574727286926,1.0465149454573852,-0.011270567389046632,-0.005635283694523316,0.5699730614906504,1.0352443780683387
2024,00-0028118,T.Taylor,24,2,12.859934812120628,0.5358306171716928,0.625,0,2,1,0,20116,0.05235087245648106,0.4834797447152117,11.603513873165083,-0.1890892886721813,-0.007878720361340888,0.5279518968103519,11.414424584492902
2024,00-0032268,M.Mariota,50,3,21.513828297803983,0.43027656595607966,0.56,3,4,0,0,20116,0.05235087245648106,0.3779256934995986,18.89628467497993,-0.9408407128621826,-0.01881681425724365,0.41145975169883603,17.955443962117748
2024,00-0039398,J.Milton,31,1,13.345608347172167,0.4305034950700699,0.5161290322580645,0,2,1,0,20116,0.05235087245648106,0.37815262261358884,11.722731301021254,-0.6787636868049303,-0.02189560280015904,0.40860789226991084,11.043967614216324
2024,00-0034796,L.Jackson,538,17,191.58730195233042,0.3561102266771941,0.533457249070632,23,46,9,0,20116,0.05235087245648106,0.30375935422071304,163.4225325707436,1.4839146273095434,0.0027582056269694114,0.35886843230416354,164.90644719805314
2024,00-0033869,M.Trubisky,27,5,9.908107053776796,0.3669669279176591,0.4074074074074074,0,1,2,0,20116,0.05235087245648106,0.31461605546117805,8.494633497451806,-1.0175349570402212,-0.037686479890378564,0.32928044802728057,7.4770985404115855
2024,00-0038128,M.Willis,70,6,21.42052297676531,0.3060074710966473,0.4142857142857143,8,8,0,0,20116,0.05235087245648106,0.2536565986401662,17.755961904811635,-0.07530192708027078,-0.0010757418154324397,0.3049317292812148,17.680659977731363
2024,00-0034857,J.Allen,539,16,163.89117417164763,0.3040652582034279,0.49907235621521334,14,43,9,0,20116,0.05235087245648106,0.2517143857469468,135.67405391760434,-3.046123467387728,-0.005651435004429922,0.29841382319899795,132.6279304502166
2024,00-0038400,T.McKee,47,2,14.677713276299727,0.3122917718361644,0.5319148936170213,2,0,1,0,20116,0.05235087245648106,0.25994089937968334,12.217222270845117,-1.444024368410652,-0.030723922732141532,0.2815678491040229,10.773197902434465
2024,00-0033106,J.Goff,581,17,160.8769769553907,0.2768966901125485,0.5421686746987951,31,14,12,0,20116,0.05235087245648106,0.22454581765606746,130.4611200581752,1.3438083858320595,0.0023129232114149044,0.27920961332396343,131.80492844400726
2024,00-0036928,K.Trask,1,1,0.29781093914061785,0.29781093914061785,1.0,0,0,0,0,20116,0.05235087245648106,0.24546006668413678,0.24546006668413678,-0.05859459832850594,-0.05859459832850594,0.2392163408121119,0.18686546835563084
2024,00-0036212,T.Tagovailoa,425,11,93.42606781184945,0.219826041910234,0.5341176470588235,21,7,8,0,20116,0.05235087245648106,0.16747516945375293,71.176947017845,-3.182384148183699,-0.007487962701608703,0.2123380792086253,67.9945628696613
2024,00-0034855,B.Mayfield,651,17,127.90208926871232,0.19647018320846746,0.522273425499232,40,42,10,0,20116,0.05235087245648106,0.1441193107519864,93.82167129954314,-2.469006794866413,-0.0037926371656934145,0.19267754604277404,91.35266450467672
2024,00-0037834,B.Purdy,525,15,97.75480343629614,0.18619962559294503,0.5066666666666667,31,44,7,0,20116,0.05235087245648106,0.13384875313646397,70.27059539664359,0.7006427842727606,0.001334557684329068,0.1875341832772741,70.97123818091634
2024,00-0036442,J.Burrow,721,17,121.2865044348199,0.1682198397154229,0.5187239944521498,48,22,9,0,20116,0.05235087245648106,0.11586896725894183,83.54152539369706,4.5954355206180955,0.006373696977278912,0.1745935366927018,88.13696091431515
2024,00-0039910,J.Daniels,597,17,105.35591726046684,0.17647557330061447,0.48576214405360135,47,72,11,0,20116,0.05235087245648106,0.1241247008441334,74.10244640394765,-2.326660047035812,-0.003897253010110238,0.17257832029050424,71.77578635691184
2024,00-0038416,T.Bagent,2,2,0.31886750092962757,0.15943375046481378,0.5,0,0,0,0,20116,0.05235087245648106,0.10708287800833272,0.21416575601666543,0.018206786468166272,0.009103393234083136,0.1685371436988969,0.2323725424848317
2024,00-0033873,P.Mahomes,652,16,103.48635474333672,0.1587214029805778,0.5076687116564417,36,37,7,0,20116,0.05235087245648106,0.10637053052409673,69.35358590171106,2.2695541623784408,0.0034809112919914737,0.16220231427256926,71.6231400640895
2024,00-0036389,J.Hurts,437,15,75.21001991794212,0.17210530873670965,0.482837528604119,38,39,8,0,20116,0.05235087245648106,0.11975443628022858,52.3326886544599,-6.521479013715504,-0.014923292937564081,0.15718201579914556,45.811209640744394
2024,00-0033949,J.Dobbs,51,2,7.2923370339421805,0.14298700066553294,0.5098039215686274,2,3,0,0,20116,0.05235087245648106,0.09063612820905187,4.622442538661646,0.21458602000941196,0.004207569019792391,0.14719456968532532,4.837028558671058
2024,00-0036264,J.Love,451,15,59.050819980180414,0.13093308199596543,0.4745011086474501,14,12,12,0,20116,0.05235087245648106,0.07858220953948436,35.44057650230745,6.554095940126138,0.014532363503605627,0.14546544549957105,41.99467244243359
2024,00-0036355,J.Herbert,573,17,74.45434490888152,0.1299377747100899,0.4537521815008726,41,31,5,0,20116,0.05235087245648106,0.07758690225360884,44.45729499131788,1.8189358947084373,0.003174408193208442,0.13311218290329835,46.27623088602632
2024,00-0031280,D.Carr,295,10,41.81055309713359,0.14173068846485964,0.43728813559322033,8,8,6,0,20116,0.05235087245648106,0.08937981600837858,26.36704572247168,-4.296386663445632,-0.014564022587951295,0.12716666587690834,22.07065905902605
2024,00-0035228,K.Murray,611,17,67.89961298659588,0.11112866282585251,0.49918166939443537,30,41,10,0,20116,0.05235087245648106,0.05877779036937145,35.91322991568596,5.232804203361383,0.008564327665075913,0.11969299049092842,41.14603411904734
2024,00-0039917,M.Penix,113,5,15.410137770087328,0.13637290062024185,0.4778761061946903,4,4,2,0,20116,0.05235087245648106,0.08402202816376078,9.494489182504967,-3.15126911260764,-0.02788733727971363,0.10848556334052822,6.343220069897328
2024,00-0031345,J.Garoppolo,45,1,3.002347296852623,0.06671882881894717,0.4888888888888889,3,1,0,0,20116,0.05235087245648106,0.014367956362466107,0.6465580363109749,1.2388491796819687,0.027529981770710418,0.09424881058965759,1.8854072159929436
2024,00-0034869,S.Darnold,620,17,52.99291552288842,0.08547244439175551,0.49516129032258066,48,28,10,0,20116,0.05235087245648106,0.03312157193527445,20.53537459987016,0.3113141532559023,0.0005021196020256488,0.08597456399378116,20.846688753126063
2024,00-0026498,M.Stafford,547,16,38.756686665390454,0.07085317489102459,0.48811700182815354,28,3,7,0,20116,0.05235087245648106,0.01850230243454353,10.120759431695312,7.535132557308769,0.013775379446633946,0.08462855433765853,17.655891989004083
2024,00-0036945,J.Fields,195,7,13.566171416652384,0.06957010982898659,0.4358974358974359,16,19,8,0,20116,0.05235087245648106,0.01721923737250553,3.357751287638578,-0.29613980735277734,-0.0015186656787321915,0.0680514441502544,3.061611480285801
2024,00-0039732,B.Nix,640,17,38.95707177327177,0.060870424645737144,0.4375,24,50,8,0,20116,0.05235087245648106,0.008519552189256083,5.452513401123895,-2.3733046337482744,-0.0037082884902316787,0.057162136155505465,3.0792087673756203
2024,00-0038102,K.Pickett,49,4,3.0723713827437322,0.0627014567906884,0.3877551020408163,4,3,0,0,20116,0.05235087245648106,0.010350584334207345,0.5071786323761605,-0.7309517316758811,-0.014917382279099615,0.047784074511588795,-0.22377309929972067
2024,00-0029604,K.Cousins,480,14,17.133125602520035,0.03569401167191674,0.48125,28,3,4,0,20116,0.05235087245648106,-0.01665686078456432,-7.995293176590874,3.1113521571836875,0.006481983660799349,0.04217599533271609,-4.883941019407186
2024,00-0030565,G.Smith,650,17,23.897968278163194,0.036766105043327994,0.47384615384615386,50,24,9,0,20116,0.05235087245648106,-0.015584767413153067,-10.130098818549495,0.6516063386803322,0.0010024712902774343,0.037768576333605426,-9.478492479869162
